file,title,title_ok,description,description_ok,canonical,canonical_ok,og_count,jsonld_count,robots_meta
book-writer/index.html,Book Writer — AI-Powered Novel Generator,True,"AI-powered book writing assistant. Generate ideas and write full novel chapters using Ollama, OpenAI, or Google Generative AI.",True,,False,0,0,
deepseek-harness/apps/web/index.html,DSH Local Build,True,,False,,False,0,0,
games.html,Games Archive | Luca Gandolfi,True,"Browse Luca Gandolfi's browser games, multiplayer experiments, board games, simulations, and arcade projects.",True,,False,0,0,
games/3dgame.html,3D Character Game,True,,False,,False,0,0,
games/CDD.html,CDD RUN — Endless Runner,True,,False,,False,0,0,
games/UNO.html,UNO Online - Multiplayer Card Game,True,,False,,False,0,0,
games/airhockey.html,Air Hockey — Luca Gandolfi,True,Play Air Hockey — Fast-paced table game — Luca Gandolfi's Portfolio,True,,False,0,0,
games/animal_crossing.html,Animal Crossing Clone - Town Builder 3D,True,,False,,False,0,0,
games/arcade-lab/index.html,Arcade Lab | Luca Gandolfi,True,Arcade Lab: ten small static browser games and interactive game systems.,True,,False,0,0,
games/aviator.html,Aviator Clone,True,,False,,False,0,0,
games/backgammon.html,Backgammon - Luca Gandolfi,True,,False,,False,0,0,
games/battlelands_royale.html,Battlelands Royale 3D,True,,False,,False,0,0,
games/battleship.html,Battleship Commander,True,,False,,False,0,0,
games/blackjack.html,Blackjack,True,,False,,False,0,0,
games/brawl_stars.html,Brawl Arena,True,,False,,False,0,0,
games/briscola.html,Briscola Bluetooth,True,,False,,False,0,0,
games/card-games/public/index.html,Giochi di Carte,True,,False,,False,0,0,
games/cards.html,Card Collector,True,,False,,False,0,0,
games/chess.html,Chess - Luca Gandolfi,True,,False,,False,0,0,
games/city_sim.html,City Sim - Mobile,True,,False,,False,0,0,
games/clash_royale.html,Clash Royale Clone - Portfolio,True,,False,,False,0,0,
games/coloring_book.html,Coloring Book,True,,False,,False,0,0,
games/coop-game.html,Slips & Catastrophes,True,,False,,False,0,0,
games/coop-game/index.html,Slips & Catastrophes,True,,False,,False,0,0,
games/dama.html,Checkers - Luca Gandolfi,True,,False,,False,0,0,
games/drinking_game.html,Drinking Game - Sfide Alcoliche,True,,False,,False,0,0,
games/echoes-of-the-last-dawn.html,L'ULTIMO RINTOCCO,True,,False,,False,0,0,
games/echoes-of-the-last-dawn/index.html,L'Ultimo Rintocco,True,,False,,False,0,0,
games/flappy_bird.html,Flappy Bird - Luca Gandolfi,True,,False,,False,0,0,
games/forza4.html,Connect Four — Luca Gandolfi,True,Play Connect Four (Forza 4) against an AI opponent — Luca Gandolfi's Portfolio,True,,False,0,0,
games/friends-tycoon.html,FRIENDS TYCOON — Impero del Divertimento,True,,False,,False,0,0,
games/friends-tycoon/index.html,FRIENDS TYCOON — Impero del Divertimento,True,,False,,False,0,0,
games/geom_dash.html,Geometry Dash — Luca Gandolfi,True,Geometry Dash — Fast-paced platformer game — Luca Gandolfi's Portfolio,True,,False,0,0,
games/goose.html,Game of the Goose - Luca Gandolfi,True,,False,,False,0,0,
games/guess_who.html,Guess Who P2P,True,,False,,False,0,0,
games/index.html,Games Archive | Luca Gandolfi,True,"Browse Luca Gandolfi's browser games, multiplayer experiments, board games, simulations, and arcade projects.",True,,False,0,0,
games/kart.html,Kart Racing - Asphalt Style,True,,False,,False,0,0,
games/math_duel.html,Math Duel - Sfida Matematica,True,,False,,False,0,0,
games/memory.html,Memory — Luca Gandolfi,True,Play Memory — Match pairs and exercise your brain — Luca Gandolfi's Portfolio,True,,False,0,0,
games/mobile_air_hockey.html,Mobile Air Hockey,True,,False,,False,0,0,
games/orto-magico.html,Orto Magico,True,,False,,False,0,0,
games/orto-magico/index.html,Orto Magico,True,,False,,False,0,0,
games/pinball.html,Space Cadet Pinball - Portfolio,True,,False,,False,0,0,
games/pixel_runner.html,Pixel Runner - Luca Gandolfi,True,,False,,False,0,0,
games/plane.html,Sky Ace,True,,False,,False,0,0,
games/pokedex.html,Pokédex - Portfolio,True,,False,,False,0,0,
games/pokemon.html,Simulatore Pokémon,True,,False,,False,0,0,
games/poker.html,Poker,True,,False,,False,0,0,
games/pokopia-clone.html,Dittopia,True,,False,,False,0,0,
games/pokopia-clone/index.html,Dittopia — omaggio a Pokopia,True,,False,,False,0,0,
games/quantum_tictactoe.html,Quantum Tic-Tac-Toe,True,,False,,False,0,0,
